Size,Swaps,Pattern
17,27,0 1 2 3 4 5 6 7 8 15 16 14 13 12 11 10 9
17,28,0 1 2 3 4 5 6 7 8 16 15 14 13 12 11 10 9
17,29,0 1 2 3 4 5 6 7 9 16 15 14 13 12 11 10 8
17,30,0 1 2 3 4 5 6 7 10 16 15 14 13 12 11 9 8
17,31,0 1 2 3 4 5 6 7 11 16 15 14 13 12 10 9 8
17,32,0 1 2 3 4 5 6 7 12 16 15 14 13 11 10 9 8
17,33,0 1 2 3 4 5 6 7 13 16 15 14 12 11 10 9 8
17,34,0 1 2 3 4 5 6 7 14 16 15 13 12 11 10 9 8
17,35,0 1 2 3 4 5 6 7 15 16 14 13 12 11 10 9 8
17,36,0 1 2 3 4 5 6 7 16 15 14 13 12 11 10 9 8
17,37,0 1 2 3 4 5 6 8 16 15 14 13 12 11 10 9 7
17,38,0 1 2 3 4 5 6 9 16 15 14 13 12 11 10 8 7
17,39,0 1 2 3 4 5 6 10 16 15 14 13 12 11 9 8 7
17,40,0 1 2 3 4 5 6 11 16 15 14 13 12 10 9 8 7
17,41,0 1 2 3 4 5 6 12 16 15 14 13 11 10 9 8 7
17,42,0 1 2 3 4 5 6 13 16 15 14 12 11 10 9 8 7
17,43,0 1 2 3 4 5 6 14 16 15 13 12 11 10 9 8 7
17,44,0 1 2 3 4 5 6 15 16 14 13 12 11 10 9 8 7
17,45,0 1 2 3 4 5 6 16 15 14 13 12 11 10 9 8 7
17,46,0 1 2 3 4 5 7 16 15 14 13 12 11 10 9 8 6
17,47,0 1 2 3 4 5 8 16 15 14 13 12 11 10 9 7 6
17,48,0 1 2 3 4 5 9 16 15 14 13 12 11 10 8 7 6
17,49,0 1 2 3 4 5 10 16 15 14 13 12 11 9 8 7 6
17,50,0 1 2 3 4 5 11 16 15 14 13 12 10 9 8 7 6
18,0,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17
18,1,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 17 16
18,2,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 16 17 15
18,3,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 17 16 15
18,4,0 1 2 3 4 5 6 7 8 9 10 11 12 13 15 17 16 14
18,5,0 1 2 3 4 5 6 7 8 9 10 11 12 13 16 17 15 14
18,6,0 1 2 3 4 5 6 7 8 9 10 11 12 13 17 16 15 14
18,7,0 1 2 3 4 5 6 7 8 9 10 11 12 14 17 16 15 13
18,8,0 1 2 3 4 5 6 7 8 9 10 11 12 15 17 16 14 13
18,9,0 1 2 3 4 5 6 7 8 9 10 11 12 16 17 15 14 13
18,10,0 1 2 3 4 5 6 7 8 9 10 11 12 17 16 15 14 13
18,11,0 1 2 3 4 5 6 7 8 9 10 11 13 17 16 15 14 12
18,12,0 1 2 3 4 5 6 7 8 9 10 11 14 17 16 15 13 12
18,13,0 1 2 3 4 5 6 7 8 9 10 11 15 17 16 14 13 12
18,14,0 1 2 3 4 5 6 7 8 9 10 11 16 17 15 14 13 12
18,15,0 1 2 3 4 5 6 7 8 9 10 11 17 16 15 14 13 12
18,16,0 1 2 3 4 5 6 7 8 9 10 12 17 16 15 14 13 11
18,17,0 1 2 3 4 5 6 7 8 9 10 13 17 16 15 14 12 11
18,18,0 1 2 3 4 5 6 7 8 9 10 14 17 16 15 13 12 11
18,19,0 1 2 3 4 5 6 7 8 9 10 15 17 16 14 13 12 11
18,20,0 1 2 3 4 5 6 7 8 9 10 16 17 15 14 13 12 11
18,21,0 1 2 3 4 5 6 7 8 9 10 17 16 15 14 13 12 11
18,22,0 1 2 3 4 5 6 7 8 9 11 17 16 15 14 13 12 10
18,23,0 1 2 3 4 5 6 7 8 9 12 17 16 15 14 13 11 10
18,24,0 1 2 3 4 5 6 7 8 9 13 17 16 15 14 12 11 10
18,25,0 1 2 3 4 5 6 7 8 9 14 17 16 15 13 12 11 10
18,26,0 1 2 3 4 5 6 7 8 9 15 17 16 14 13 12 11 10
18,27,0 1 2 3 4 5 6 7 8 9 16 17 15 14 13 12 11 10
18,28,0 1 2 3 4 5 6 7 8 9 17 16 15 14 13 12 11 10
18,29,0 1 2 3 4 5 6 7 8 10 17 16 15 14 13 12 11 9
18,30,0 1 2 3 4 5 6 7 8 11 17 16 15 14 13 12 10 9
18,31,0 1 2 3 4 5 6 7 8 12 17 16 15 14 13 11 10 9
18,32,0 1 2 3 4 5 6 7 8 13 17 16 15 14 12 11 10 9
18,33,0 1 2 3 4 5 6 7 8 14 17 16 15 13 12 11 10 9
18,34,0 1 2 3 4 5 6 7 8 15 17 16 14 13 12 11 10 9
18,35,0 1 2 3 4 5 6 7 8 16 17 15 14 13 12 11 10 9
18,36,0 1 2 3 4 5 6 7 8 17 16 15 14 13 12 11 10 9
18,37,0 1 2 3 4 5 6 7 9 17 16 15 14 13 12 11 10 8
18,38,0 1 2 3 4 5 6 7 10 17 16 15 14 13 12 11 9 8
18,39,0 1 2 3 4 5 6 7 11 17 16 15 14 13 12 10 9 8
18,40,0 1 2 3 4 5 6 7 12 17 16 15 14 13 11 10 9 8
18,41,0 1 2 3 4 5 6 7 13 17 16 15 14 12 11 10 9 8
18,42,0 1 2 3 4 5 6 7 14 17 16 15 13 12 11 10 9 8
18,43,0 1 2 3 4 5 6 7 15 17 16 14 13 12 11 10 9 8
18,44,0 1 2 3 4 5 6 7 16 17 15 14 13 12 11 10 9 8
18,45,0 1 2 3 4 5 6 7 17 16 15 14 13 12 11 10 9 8
18,46,0 1 2 3 4 5 6 8 17 16 15 14 13 12 11 10 9 7
18,47,0 1 2 3 4 5 6 9 17 16 15 14 13 12 11 10 8 7
18,48,0 1 2 3 4 5 6 10 17 16 15 14 13 12 11 9 8 7
18,49,0 1 2 3 4 5 6 11 17 16 15 14 13 12 10 9 8 7
18,50,0 1 2 3 4 5 6 12 17 16 15 14 13 11 10 9 8 7
19,0,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18
19,1,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 18 17
19,2,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 17 18 16
19,3,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 18 17 16
19,4,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 16 18 17 15
19,5,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 17 18 16 15
19,6,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 18 17 16 15
19,7,0 1 2 3 4 5 6 7 8 9 10 11 12 13 15 18 17 16 14
19,8,0 1 2 3 4 5 6 7 8 9 10 11 12 13 16 18 17 15 14
19,9,0 1 2 3 4 5 6 7 8 9 10 11 12 13 17 18 16 15 14
19,10,0 1 2 3 4 5 6 7 8 9 10 11 12 13 18 17 16 15 14
19,11,0 1 2 3 4 5 6 7 8 9 10 11 12 14 18 17 16 15 13
19,12,0 1 2 3 4 5 6 7 8 9 10 11 12 15 18 17 16 14 13
19,13,0 1 2 3 4 5 6 7 8 9 10 11 12 16 18 17 15 14 13
19,14,0 1 2 3 4 5 6 7 8 9 10 11 12 17 18 16 15 14 13
19,15,0 1 2 3 4 5 6 7 8 9 10 11 12 18 17 16 15 14 13
19,16,0 1 2 3 4 5 6 7 8 9 10 11 13 18 17 16 15 14 12
19,17,0 1 2 3 4 5 6 7 8 9 10 11 14 18 17 16 15 13 12
19,18,0 1 2 3 4 5 6 7 8 9 10 11 15 18 17 16 14 13 12
19,19,0 1 2 3 4 5 6 7 8 9 10 11 16 18 17 15 14 13 12
19,20,0 1 2 3 4 5 6 7 8 9 10 11 17 18 16 15 14 13 12
19,21,0 1 2 3 4 5 6 7 8 9 10 11 18 17 16 15 14 13 12
19,22,0 1 2 3 4 5 6 7 8 9 10 12 18 17 16 15 14 13 11
19,23,0 1 2 3 4 5 6 7 8 9 10 13 18 17 16 15 14 12 11
19,24,0 1 2 3 4 5 6 7 8 9 10 14 18 17 16 15 13 12 11
19,25,0 1 2 3 4 5 6 7 8 9 10 15 18 17 16 14 13 12 11
19,26,0 1 2 3 4 5 6 7 8 9 10 16 18 17 15 14 13 12 11
19,27,0 1 2 3 4 5 6 7 8 9 10 17 18 16 15 14 13 12 11
19,28,0 1 2 3 4 5 6 7 8 9 10 18 17 16 15 14 13 12 11
19,29,0 1 2 3 4 5 6 7 8 9 11 18 17 16 15 14 13 12 10
19,30,0 1 2 3 4 5 6 7 8 9 12 18 17 16 15 14 13 11 10
19,31,0 1 2 3 4 5 6 7 8 9 13 18 17 16 15 14 12 11 10
19,32,0 1 2 3 4 5 6 7 8 9 14 18 17 16 15 13 12 11 10
19,33,0 1 2 3 4 5 6 7 8 9 15 18 17 16 14 13 12 11 10
19,34,0 1 2 3 4 5 6 7 8 9 16 18 17 15 14 13 12 11 10
19,35,0 1 2 3 4 5 6 7 8 9 17 18 16 15 14 13 12 11 10
19,36,0 1 2 3 4 5 6 7 8 9 18 17 16 15 14 13 12 11 10
19,37,0 1 2 3 4 5 6 7 8 10 18 17 16 15 14 13 12 11 9
19,38,0 1 2 3 4 5 6 7 8 11 18 17 16 15 14 13 12 10 9
19,39,0 1 2 3 4 5 6 7 8 12 18 17 16 15 14 13 11 10 9
19,40,0 1 2 3 4 5 6 7 8 13 18 17 16 15 14 12 11 10 9
19,41,0 1 2 3 4 5 6 7 8 14 18 17 16 15 13 12 11 10 9
19,42,0 1 2 3 4 5 6 7 8 15 18 17 16 14 13 12 11 10 9
19,43,0 1 2 3 4 5 6 7 8 16 18 17 15 14 13 12 11 10 9
19,44,0 1 2 3 4 5 6 7 8 17 18 16 15 14 13 12 11 10 9
19,45,0 1 2 3 4 5 6 7 8 18 17 16 15 14 13 12 11 10 9
19,46,0 1 2 3 4 5 6 7 9 18 17 16 15 14 13 12 11 10 8
19,47,0 1 2 3 4 5 6 7 10 18 17 16 15 14 13 12 11 9 8
19,48,0 1 2 3 4 5 6 7 11 18 17 16 15 14 13 12 10 9 8
19,49,0 1 2 3 4 5 6 7 12 18 17 16 15 14 13 11 10 9 8
19,50,0 1 2 3 4 5 6 7 13 18 17 16 15 14 12 11 10 9 8
20,0,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19
20,1,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 19 18
20,2,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 18 19 17
20,3,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 19 18 17
20,4,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 17 19 18 16
20,5,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 18 19 17 16
20,6,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 19 18 17 16
20,7,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 16 19 18 17 15
20,8,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 17 19 18 16 15
20,9,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 18 19 17 16 15
20,10,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 19 18 17 16 15
20,11,0 1 2 3 4 5 6 7 8 9 10 11 12 13 15 19 18 17 16 14
20,12,0 1 2 3 4 5 6 7 8 9 10 11 12 13 16 19 18 17 15 14
20,13,0 1 2 3 4 5 6 7 8 9 10 11 12 13 17 19 18 16 15 14
20,14,0 1 2 3 4 5 6 7 8 9 10 11 12 13 18 19 17 16 15 14
20,15,0 1 2 3 4 5 6 7 8 9 10 11 12 13 19 18 17 16 15 14
20,16,0 1 2 3 4 5 6 7 8 9 10 11 12 14 19 18 17 16 15 13
20,17,0 1 2 3 4 5 6 7 8 9 10 11 12 15 19 18 17 16 14 13
20,18,0 1 2 3 4 5 6 7 8 9 10 11 12 16 19 18 17 15 14 13
20,19,19 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18
20,20,0 1 2 3 4 5 6 7 8 9 10 11 12 18 19 17 16 15 14 13
20,21,0 1 2 3 4 5 6 7 8 9 10 11 12 19 18 17 16 15 14 13
20,22,0 1 2 3 4 5 6 7 8 9 10 11 13 19 18 17 16 15 14 12
20,23,0 1 2 3 4 5 6 7 8 9 10 11 14 19 18 17 16 15 13 12
20,24,0 1 2 3 4 5 6 7 8 9 10 11 15 19 18 17 16 14 13 12
20,25,0 1 2 3 4 5 6 7 8 9 10 11 16 19 18 17 15 14 13 12
20,26,0 1 2 3 4 5 6 7 8 9 10 11 17 19 18 16 15 14 13 12
20,27,0 1 2 3 4 5 6 7 8 9 10 11 18 19 17 16 15 14 13 12
20,28,0 1 2 3 4 5 6 7 8 9 10 11 19 18 17 16 15 14 13 12
20,29,0 1 2 3 4 5 6 7 8 9 10 12 19 18 17 16 15 14 13 11
20,30,0 1 2 3 4 5 6 7 8 9 10 13 19 18 17 16 15 14 12 11
20,31,0 1 2 3 4 5 6 7 8 9 10 14 19 18 17 16 15 13 12 11
20,32,0 1 2 3 4 5 6 7 8 9 10 15 19 18 17 16 14 13 12 11
20,33,0 1 2 3 4 5 6 7 8 9 10 16 19 18 17 15 14 13 12 11
20,34,0 1 2 3 4 5 6 7 8 9 10 17 19 18 16 15 14 13 12 11
20,35,0 1 2 3 4 5 6 7 8 9 10 18 19 17 16 15 14 13 12 11
20,36,0 1 2 3 4 5 6 7 8 9 10 19 18 17 16 15 14 13 12 11
20,37,0 1 2 3 4 5 6 7 8 9 11 19 18 17 16 15 14 13 12 10
20,38,0 1 2 3 4 5 6 7 8 9 12 19 18 17 16 15 14 13 11 10
20,39,0 1 2 3 4 5 6 7 8 9 13 19 18 17 16 15 14 12 11 10
20,40,0 1 2 3 4 5 6 7 8 9 14 19 18 17 16 15 13 12 11 10
20,41,0 1 2 3 4 5 6 7 8 9 15 19 18 17 16 14 13 12 11 10
20,42,0 1 2 3 4 5 6 7 8 9 16 19 18 17 15 14 13 12 11 10
20,43,0 1 2 3 4 5 6 7 8 9 17 19 18 16 15 14 13 12 11 10
20,44,0 1 2 3 4 5 6 7 8 9 18 19 17 16 15 14 13 12 11 10
20,45,0 1 2 3 4 5 6 7 8 9 19 18 17 16 15 14 13 12 11 10
20,46,0 1 2 3 4 5 6 7 8 10 19 18 17 16 15 14 13 12 11 9
20,47,0 1 2 3 4 5 6 7 8 11 19 18 17 16 15 14 13 12 10 9
20,48,0 1 2 3 4 5 6 7 8 12 19 18 17 16 15 14 13 11 10 9
20,49,0 1 2 3 4 5 6 7 8 13 19 18 17 16 15 14 12 11 10 9
20,50,0 1 2 3 4 5 6 7 8 14 19 18 17 16 15 13 12 11 10 9
14,75,11 12 13 7 10 5 8 9 0 6 4 3 1 2
12,65,10 11 9 8 7 6 5 4 3 2 1 0
90,0,0 1 2 3
91,1,0 1 3 2
92,3,3 0 1 2
93,2,1 0 3 2
